date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2009-10-13,1628.93 ,-0.0066 ,2220 ,105 ,-2472 ,57 ,110 ,-2026 ,-65 ,-136 ,-133 ,-278 ,-13 ,177 
2009-10-12,1639.81 ,-0.0042 ,1788 ,-521 ,-1203 ,513 ,-223 ,-1261 ,0 ,42 ,-74 ,-200 ,-60 ,-5 
2009-10-09,1646.79 ,0.0194 ,-3309 ,4232 ,-1017 ,-77 ,511 ,-1726 ,65 ,278 ,267 ,-335 ,117 ,-19 
2009-10-08,1615.46 ,0.0109 ,1767 ,-78 ,-1770 ,1229 ,1436 ,-5174 ,34 ,13 ,680 ,13 ,-93 ,210 
2009-10-07,1598.00 ,-0.0003 ,-1253 ,1064 ,976 ,-390 ,108 ,2006 ,114 ,-177 ,-751 ,66 ,-638 ,-138 
2009-10-06,1598.44 ,-0.0053 ,1443 ,-298 ,-1031 ,-14 ,512 ,-1185 ,40 ,-290 ,-125 ,32 ,-6 ,-92 
2009-10-05,1606.90 ,-0.0229 ,3454 ,-3402 ,-84 ,1092 ,-498 ,-619 ,-60 ,-83 ,322 ,-238 ,33 ,-36 
2009-10-01,1644.63 ,-0.0170 ,1658 ,-2349 ,780 ,1096 ,23 ,190 ,68 ,-157 ,-687 ,247 ,-18 ,20 
2009-09-30,1673.14 ,-0.0100 ,-1862 ,-122 ,2472 ,-358 ,-454 ,3469 ,-213 ,-59 ,-609 ,696 ,-105 ,-371 
2009-09-29,1690.05 ,0.0087 ,-329 ,-1181 ,1602 ,-602 ,77 ,2464 ,94 ,-300 ,-336 ,205 ,17 ,-69 
2009-09-28,1675.55 ,-0.0094 ,3836 ,-1370 ,-2227 ,414 ,-272 ,-1449 ,-5 ,-230 ,-661 ,-23 ,-129 ,-231 
2009-09-25,1691.48 ,-0.0014 ,4442 ,-1430 ,-2859 ,991 ,-251 ,-2636 ,-89 ,-115 ,-634 ,-126 ,-61 ,-40 
2009-09-24,1693.88 ,-0.0103 ,3014 ,-936 ,-1988 ,-226 ,-408 ,88 ,-193 ,-86 ,-1168 ,6 ,-103 ,-38 
2009-09-23,1711.47 ,-0.0043 ,1650 ,1305 ,-2852 ,-167 ,-651 ,-998 ,-137 ,-20 ,-549 ,-330 ,-11 ,-62 
2009-09-22,1718.88 ,0.0138 ,-1983 ,5273 ,-3200 ,364 ,167 ,-2682 ,-53 ,3 ,-768 ,-231 ,-13 ,-40 
2009-09-21,1695.50 ,-0.0025 ,1429 ,1873 ,-3141 ,121 ,240 ,-2383 ,-61 ,-201 ,-750 ,-106 ,-56 ,-103 
2009-09-18,1699.71 ,0.0025 ,-2399 ,14193 ,-10978 ,-1012 ,-235 ,-7433 ,-232 ,-234 ,-1440 ,-393 ,-57 ,-748 
2009-09-17,1695.47 ,0.0072 ,-2791 ,7864 ,-4395 ,-522 ,-71 ,-2566 ,-99 ,-173 ,-824 ,-139 ,-87 ,-525 
2009-09-16,1683.33 ,0.0181 ,-9249 ,9079 ,467 ,-758 ,74 ,1191 ,53 ,-465 ,-233 ,605 ,41 ,-226 
2009-09-15,1653.40 ,0.0113 ,-47 ,3698 ,-3703 ,-836 ,157 ,-2188 ,137 ,-194 ,-434 ,-344 ,-104 ,197 
2009-09-14,1634.91 ,-0.0102 ,1835 ,2044 ,-3614 ,298 ,-171 ,-3258 ,-101 ,-191 ,-334 ,143 ,37 ,-298 
2009-09-11,1651.70 ,0.0043 ,-2056 ,5913 ,-3501 ,-12 ,-145 ,-2275 ,-6 ,-47 ,-866 ,-149 ,-217 ,-126 
2009-09-10,1644.68 ,0.0230 ,-7588 ,4480 ,2703 ,-48 ,1072 ,839 ,151 ,-91 ,-25 ,805 ,321 ,120 
2009-09-09,1607.77 ,-0.0074 ,4522 ,882 ,-5060 ,583 ,-406 ,-3868 ,-11 ,-220 ,-829 ,-309 ,-57 ,-314 
2009-09-08,1619.69 ,0.0069 ,-547 ,793 ,158 ,65 ,-243 ,809 ,145 ,-46 ,-846 ,276 ,-112 ,-241 
2009-09-07,1608.57 ,-0.0002 ,1904 ,324 ,-2125 ,926 ,27 ,-2016 ,-29 ,-19 ,-556 ,-457 ,117 ,-209 
2009-09-04,1608.90 ,-0.0029 ,1603 ,97 ,-1188 ,813 ,176 ,-1529 ,21 ,-22 ,-729 ,81 ,-77 ,-410 
2009-09-03,1613.53 ,0.0002 ,1102 ,-1473 ,347 ,166 ,-347 ,657 ,-138 ,-155 ,-164 ,328 ,-10 ,84 
2009-09-02,1613.16 ,-0.0061 ,3231 ,-2836 ,-182 ,298 ,121 ,-206 ,-29 ,38 ,-219 ,-186 ,44 ,-224 
2009-09-01,1623.06 ,0.0196 ,-2337 ,325 ,1856 ,400 ,113 ,2210 ,0 ,-63 ,-1326 ,523 ,99 ,171 
2009-08-31,1591.85 ,-0.0100 ,2435 ,-132 ,-2097 ,282 ,-258 ,-1840 ,-142 ,-66 ,-225 ,152 ,-11 ,-54 
2009-08-28,1607.94 ,0.0054 ,-736 ,2133 ,-1285 ,103 ,75 ,-891 ,-106 ,60 ,-568 ,41 ,-1 ,-55 
2009-08-27,1599.33 ,-0.0092 ,630 ,2257 ,-2473 ,-45 ,-172 ,-1390 ,148 ,90 ,-1132 ,28 ,-11 ,-330 
2009-08-26,1614.12 ,0.0080 ,1052 ,2204 ,-2787 ,-3 ,-137 ,-1914 ,-23 ,-43 ,-523 ,-144 ,61 ,-416 
2009-08-25,1601.38 ,-0.0067 ,2452 ,2195 ,-4235 ,155 ,96 ,-3620 ,-89 ,22 ,-851 ,51 ,-156 ,-155 
2009-08-24,1612.22 ,0.0198 ,497 ,3315 ,-2708 ,557 ,-112 ,-1451 ,-184 ,164 ,-1471 ,-210 ,-46 ,-759 
2009-08-21,1580.98 ,0.0029 ,3534 ,2195 ,-5220 ,380 ,-730 ,-3652 ,-35 ,4 ,-1059 ,-129 ,-60 ,-274 
2009-08-20,1576.39 ,0.0197 ,-318 ,-1488 ,2391 ,540 ,465 ,2021 ,-24 ,123 ,-961 ,228 ,-102 ,-300 
2009-08-19,1545.96 ,-0.0028 ,3915 ,2134 ,-5751 ,209 ,-26 ,-4789 ,-4 ,242 ,-913 ,-471 ,-142 ,-23 
2009-08-18,1550.24 ,0.0021 ,319 ,-1512 ,1640 ,-355 ,-283 ,3132 ,-72 ,-206 ,-972 ,397 ,-21 ,-233 
2009-08-17,1547.06 ,-0.0279 ,7084 ,1242 ,-7756 ,-11 ,-387 ,-6065 ,-157 ,-12 ,-999 ,-126 ,-188 ,-364 
2009-08-14,1591.41 ,0.0171 ,-1846 ,3928 ,-1394 ,224 ,337 ,-288 ,-15 ,-72 ,-1639 ,60 ,-289 ,-166 
2009-08-13,1564.64 ,-0.0005 ,3562 ,2698 ,-6063 ,1837 ,726 ,-6875 ,-68 ,145 ,-1399 ,-430 ,41 ,-45 
2009-08-12,1565.35 ,-0.0088 ,2290 ,-13 ,-2157 ,853 ,-73 ,-1287 ,-91 ,104 ,-1681 ,18 ,-62 ,58 
2009-08-11,1579.21 ,0.0020 ,-2223 ,1956 ,466 ,784 ,-55 ,677 ,-115 ,-192 ,-724 ,90 ,-85 ,-47 
2009-08-10,1576.11 ,0.0001 ,1009 ,3571 ,-4293 ,164 ,-286 ,-2574 ,-148 ,-8 ,-1283 ,-159 ,-201 ,67 
2009-08-07,1576.00 ,0.0070 ,-918 ,1989 ,-1105 ,779 ,60 ,-1219 ,-26 ,105 ,-751 ,-52 ,23 ,137 
2009-08-06,1565.04 ,0.0036 ,-1011 ,302 ,1075 ,695 ,-116 ,1304 ,67 ,-75 ,-899 ,98 ,11 ,-226 
2009-08-05,1559.47 ,-0.0044 ,-296 ,858 ,-311 ,721 ,98 ,-177 ,39 ,-66 ,-885 ,-42 ,-17 ,-65 
2009-08-04,1566.37 ,0.0009 ,-674 ,5935 ,-4563 ,276 ,-99 ,-3375 ,-56 ,-41 ,-1055 ,-212 ,-17 ,-163 
2009-08-03,1564.98 ,0.0049 ,-1578 ,4029 ,-1974 ,343 ,209 ,-2044 ,34 ,116 ,-361 ,-272 ,-34 ,-284 
2009-07-31,1557.29 ,0.0147 ,-5287 ,5755 ,-34 ,-30 ,291 ,-815 ,126 ,83 ,261 ,50 ,-14 ,-98 
2009-07-30,1534.74 ,0.0068 ,714 ,2790 ,-2987 ,-16 ,-118 ,-1859 ,64 ,-237 ,-607 ,-212 ,-44 ,-311 
2009-07-29,1524.32 ,-0.0011 ,-820 ,2880 ,-1895 ,-334 ,-287 ,-115 ,-159 ,-322 ,-607 ,-70 ,-36 ,-122 
2009-07-28,1526.03 ,0.0013 ,-1972 ,4908 ,-2786 ,6 ,-391 ,-2293 ,131 ,-49 ,-51 ,-140 ,-132 ,-10 
2009-07-27,1524.05 ,0.0143 ,-4616 ,4829 ,8 ,387 ,-188 ,191 ,98 ,-342 ,-411 ,272 ,-55 ,-121 
2009-07-24,1502.59 ,0.0041 ,-3914 ,4439 ,-164 ,1100 ,-226 ,-247 ,27 ,-197 ,-553 ,-68 ,-65 ,-232 
2009-07-23,1496.49 ,0.0016 ,-3679 ,3189 ,1025 ,575 ,386 ,330 ,-138 ,-49 ,-330 ,251 ,-43 ,-464 
2009-07-22,1494.04 ,0.0034 ,-1579 ,3164 ,-1372 ,188 ,159 ,28 ,-157 ,50 ,-1556 ,-84 ,-33 ,-173 
2009-07-21,1488.99 ,0.0071 ,-2757 ,4039 ,-1303 ,-34 ,282 ,9 ,-103 ,15 ,-1257 ,-216 ,110 ,-79 
2009-07-20,1478.51 ,0.0267 ,-9238 ,5204 ,3893 ,710 ,890 ,3333 ,-22 ,56 ,-1225 ,151 ,182 ,9 
2009-07-17,1440.10 ,0.0055 ,-3086 ,1627 ,1192 ,429 ,386 ,1543 ,76 ,101 ,-1418 ,74 ,51 ,240 
2009-07-16,1432.22 ,0.0080 ,-5124 ,5392 ,-474 ,64 ,388 ,1083 ,116 ,-24 ,-2210 ,108 ,122 ,110 
2009-07-15,1420.86 ,0.0255 ,-3247 ,4770 ,-1415 ,-417 ,214 ,-1014 ,0 ,22 ,-165 ,-55 ,16 ,-86 
2009-07-14,1385.56 ,0.0054 ,2261 ,-214 ,-1678 ,-243 ,126 ,-1265 ,-29 ,-228 ,45 ,-84 ,-305 ,-87 
2009-07-13,1378.12 ,-0.0353 ,3773 ,-2308 ,-1580 ,729 ,-248 ,-1384 ,-50 ,-246 ,-326 ,-55 ,-55 ,131 
2009-07-10,1428.62 ,-0.0016 ,-93 ,-353 ,561 ,77 ,473 ,-284 ,22 ,253 ,6 ,16 ,23 ,-121 
2009-07-09,1430.89 ,-0.0001 ,674 ,3113 ,-3518 ,325 ,80 ,-4103 ,158 ,216 ,28 ,-223 ,-159 ,-119 
2009-07-08,1431.02 ,-0.0022 ,2163 ,-1950 ,-261 ,-49 ,-427 ,81 ,107 ,227 ,-310 ,110 ,76 ,-3 
2009-07-07,1434.20 ,0.0037 ,-240 ,1514 ,-1015 ,23 ,-482 ,-823 ,39 ,170 ,141 ,-83 ,98 ,-322 
2009-07-06,1428.94 ,0.0063 ,-1652 ,1135 ,239 ,599 ,129 ,-653 ,-42 ,123 ,132 ,-49 ,-47 ,316 
2009-07-03,1420.04 ,0.0061 ,-2240 ,805 ,1351 ,162 ,258 ,49 ,147 ,87 ,603 ,45 ,106 ,3 
2009-07-02,1411.48 ,-0.0001 ,64 ,2821 ,-3297 ,333 ,34 ,-3677 ,35 ,120 ,127 ,-270 ,41 ,390 
2009-07-01,1411.66 ,0.0155 ,-2227 ,1844 ,270 ,22 ,102 ,261 ,89 ,-19 ,-199 ,14 ,53 ,108 
2009-06-30,1390.07 ,0.0012 ,-3947 ,567 ,3334 ,81 ,141 ,3021 ,-10 ,-182 ,39 ,244 ,42 ,-10 
2009-06-29,1388.45 ,-0.0044 ,-253 ,300 ,-145 ,7 ,-154 ,518 ,-32 ,1 ,-417 ,-68 ,88 ,17 
2009-06-26,1394.53 ,0.0013 ,-281 ,3596 ,-3296 ,281 ,-100 ,-695 ,-87 ,-1960 ,-765 ,29 ,157 ,-124 
2009-06-25,1392.73 ,0.0212 ,-4914 ,4275 ,481 ,448 ,47 ,698 ,-49 ,310 ,-1058 ,85 ,355 ,-168 
2009-06-24,1363.79 ,0.0024 ,1399 ,-767 ,-794 ,-328 ,134 ,48 ,-5 ,-3 ,-522 ,-116 ,278 ,-113 
2009-06-23,1360.54 ,-0.0280 ,4361 ,-2166 ,-2573 ,141 ,-1018 ,-593 ,-34 ,-175 ,-487 ,-408 ,317 ,43 
2009-06-22,1399.71 ,0.0118 ,-497 ,204 ,330 ,-55 ,-596 ,1402 ,-68 ,102 ,-243 ,-212 ,-6 ,-4 
2009-06-19,1383.34 ,0.0055 ,630 ,255 ,-1046 ,-43 ,-285 ,-8 ,-6 ,39 ,-662 ,-82 ,24 ,136 
2009-06-18,1375.76 ,-0.0111 ,2403 ,-524 ,-1954 ,483 ,-1468 ,253 ,1 ,-129 ,-664 ,-429 ,-36 ,78 
2009-06-17,1391.17 ,-0.0057 ,3448 ,-1482 ,-2015 ,-180 ,-386 ,-322 ,-59 ,32 ,-930 ,-171 ,-51 ,114 
2009-06-16,1399.15 ,-0.0094 ,3681 ,-1665 ,-2002 ,-152 ,-360 ,-896 ,29 ,-347 ,141 ,-416 ,-31 ,18 
2009-06-15,1412.42 ,-0.0113 ,5032 ,-476 ,-3820 ,15 ,-657 ,-2503 ,25 ,-43 ,343 ,-1001 ,-161 ,-608 
2009-06-12,1428.59 ,0.0065 ,332 ,2492 ,-2537 ,136 ,-8 ,-2239 ,-8 ,-168 ,-8 ,-242 ,-224 ,-43 
2009-06-11,1419.39 ,0.0032 ,-3589 ,7062 ,-3959 ,-386 ,-173 ,-3590 ,-26 ,6 ,413 ,-203 ,406 ,126 
2009-06-10,1414.88 ,0.0314 ,-7176 ,4335 ,2661 ,-725 ,184 ,3756 ,-124 ,-82 ,-431 ,84 ,67 ,141 
2009-06-09,1371.84 ,-0.0154 ,3358 ,921 ,-3879 ,-392 ,-198 ,-2305 ,-120 ,-277 ,-354 ,-233 ,-191 ,-242 
2009-06-08,1393.30 ,-0.0010 ,873 ,434 ,-934 ,36 ,91 ,-973 ,36 ,-1 ,58 ,-181 ,-3 ,-368 
2009-06-05,1394.71 ,0.0120 ,1929 ,984 ,-2624 ,-274 ,86 ,-932 ,-30 ,-157 ,-1152 ,-166 ,-101 ,-206 
2009-06-04,1378.14 ,-0.0260 ,5764 ,-1091 ,-4256 ,347 ,119 ,-3644 ,-54 ,-141 ,-684 ,-198 ,-177 ,-248 
2009-06-03,1414.89 ,0.0014 ,416 ,-903 ,1078 ,-5 ,774 ,1134 ,-40 ,-243 ,-454 ,-89 ,29 ,-581 
2009-06-02,1412.85 ,-0.0016 ,-1373 ,4948 ,-3357 ,453 ,246 ,-2833 ,226 ,15 ,-1290 ,-174 ,-16 ,-183 
2009-06-01,1415.10 ,0.0138 ,-1397 ,3361 ,-1479 ,182 ,189 ,-2086 ,7 ,197 ,158 ,-126 ,-94 ,-341 
2009-05-29,1395.89 ,0.0027 ,-589 ,3628 ,-2742 ,268 ,250 ,-3349 ,-32 ,29 ,226 ,-135 ,-23 ,-244 
2009-05-28,1392.17 ,0.0221 ,-3817 ,2561 ,2083 ,391 ,797 ,822 ,267 ,-153 ,36 ,-75 ,-1 ,-779 
2009-05-27,1362.02 ,-0.0073 ,-197 ,3256 ,-2876 ,-236 ,675 ,-3067 ,82 ,88 ,-297 ,-121 ,37 ,-240 
2009-05-26,1372.04 ,-0.0206 ,3054 ,1612 ,-4659 ,646 ,-183 ,-4300 ,79 ,-225 ,-519 ,-157 ,18 ,20 
2009-05-25,1400.90 ,-0.0020 ,2508 ,2117 ,-4646 ,187 ,-158 ,-3799 ,38 ,-46 ,-776 ,-92 ,-34 ,64 
2009-05-22,1403.75 ,-0.0126 ,2682 ,690 ,-2813 ,420 ,-704 ,-977 ,-82 ,-119 ,-1325 ,-25 ,-140 ,-387 
2009-05-21,1421.65 ,-0.0098 ,3170 ,422 ,-2858 ,412 ,-485 ,-1453 ,-217 ,-83 ,-922 ,-111 ,-130 ,-609 
2009-05-20,1435.70 ,0.0052 ,-2379 ,5221 ,-2878 ,196 ,-182 ,-2231 ,-10 ,-128 ,-336 ,-187 ,-30 ,104 
2009-05-19,1428.21 ,0.0299 ,-3143 ,4289 ,-1351 ,-11 ,774 ,-839 ,87 ,49 ,-1254 ,-157 ,-26 ,282 
2009-05-18,1386.68 ,-0.0036 ,3035 ,1718 ,-4459 ,375 ,-41 ,-3120 ,-45 ,-129 ,-1311 ,-188 ,-68 ,-216 
2009-05-15,1391.73 ,0.0078 ,2715 ,236 ,-2718 ,81 ,177 ,-1403 ,-23 ,57 ,-1471 ,-135 ,-16 ,-201 
2009-05-14,1380.95 ,-0.0237 ,6657 ,-742 ,-5505 ,4002 ,-141 ,-7755 ,-246 ,-165 ,-566 ,-636 ,-69 ,-309 
2009-05-13,1414.52 ,0.0078 ,683 ,-472 ,-121 ,2037 ,56 ,-625 ,-54 ,-189 ,-1190 ,-156 ,46 ,-96 
2009-05-12,1403.51 ,-0.0082 ,1265 ,81 ,-792 ,1201 ,-806 ,12 ,45 ,-426 ,-1003 ,185 ,-16 ,-482 
2009-05-11,1415.16 ,0.0021 ,2130 ,2796 ,-4701 ,863 ,-437 ,-4137 ,-15 ,-10 ,-237 ,-728 ,-59 ,-137 
2009-05-08,1412.13 ,0.0079 ,-1380 ,4444 ,-2542 ,584 ,6 ,3507 ,52 ,-7279 ,188 ,400 ,38 ,-519 
2009-05-07,1401.08 ,0.0055 ,2482 ,2323 ,-4394 ,882 ,-229 ,-3700 ,-43 ,-282 ,-784 ,-239 ,0 ,-353 
2009-05-06,1393.45 ,-0.0032 ,2008 ,3089 ,-4906 ,791 ,-231 ,-3571 ,-94 ,10 ,-1468 ,-343 ,-62 ,-108 
2009-05-04,1397.92 ,0.0209 ,-8 ,4087 ,-3713 ,865 ,-62 ,-3002 ,-17 ,251 ,-1321 ,-427 ,-40 ,-268 
2009-04-30,1369.36 ,0.0231 ,-7480 ,5795 ,1930 ,1730 ,246 ,714 ,-133 ,114 ,-836 ,95 ,-39 ,-149 
2009-04-29,1338.42 ,0.0294 ,-2678 ,1466 ,1378 ,551 ,334 ,1110 ,-34 ,-172 ,-542 ,132 ,8 ,-92 
2009-04-28,1300.24 ,-0.0295 ,1923 ,-291 ,-940 ,-645 ,-292 ,1067 ,-114 ,-353 ,-1458 ,855 ,-13 ,-709 
2009-04-27,1339.83 ,-0.0105 ,3647 ,344 ,-2806 ,108 ,-3 ,-1927 ,-84 ,-271 ,-538 ,-91 ,-53 ,-115 
2009-04-24,1354.10 ,-0.0107 ,1598 ,1401 ,-2858 ,-297 ,-342 ,-573 ,-8 ,-554 ,-1043 ,-41 ,0 ,-110 
2009-04-23,1368.80 ,0.0094 ,251 ,1599 ,-1633 ,772 ,-267 ,-273 ,-80 ,-189 ,-1249 ,-347 ,-43 ,-152 
2009-04-22,1356.02 ,0.0144 ,1251 ,1910 ,-3117 ,796 ,91 ,-2022 ,8 ,-349 ,-1432 ,-209 ,-142 ,123 
2009-04-21,1336.81 ,0.0003 ,2351 ,-766 ,-1532 ,670 ,-302 ,-781 ,114 ,-619 ,-492 ,-120 ,-1 ,5 
2009-04-20,1336.39 ,0.0056 ,2508 ,2410 ,-4590 ,267 ,5 ,-3700 ,76 ,-401 ,-710 ,-127 ,-20 ,-300 
2009-04-17,1329.00 ,-0.0058 ,1905 ,4831 ,-6390 ,700 ,-152 ,-4617 ,-69 ,-327 ,-1617 ,-309 ,-42 ,-272 
2009-04-16,1336.72 ,0.0027 ,1055 ,4799 ,-5779 ,722 ,29 ,-4535 ,42 ,-170 ,-1571 ,-297 ,-18 ,-44 
2009-04-15,1333.09 ,-0.0071 ,2728 ,-1105 ,-1834 ,440 ,-275 ,-1961 ,176 ,-222 ,143 ,-133 ,-113 ,325 
2009-04-14,1342.63 ,0.0033 ,2300 ,1253 ,-3718 ,875 ,-73 ,-3487 ,-116 ,-183 ,-528 ,-206 ,-41 ,193 
2009-04-13,1338.26 ,0.0017 ,1168 ,3995 ,-5226 ,724 ,-681 ,-2555 ,-261 ,-334 ,-1788 ,-331 ,-85 ,168 
2009-04-10,1336.04 ,0.0150 ,794 ,4136 ,-4819 ,1622 ,-736 ,-2112 ,-345 ,-183 ,-2950 ,-114 ,-24 ,-70 
2009-04-09,1316.35 ,0.0430 ,-249 ,2929 ,-2613 ,1733 ,414 ,-3354 ,-24 ,-54 ,-1508 ,180 ,-52 ,30 
2009-04-08,1262.07 ,-0.0293 ,6059 ,-3291 ,-2659 ,754 ,-58 ,-2234 ,-87 ,-453 ,-504 ,-78 ,-78 ,-41 
2009-04-07,1300.10 ,0.0017 ,1443 ,-1145 ,-465 ,1236 ,63 ,-813 ,-74 ,54 ,-926 ,-4 ,-29 ,212 
2009-04-06,1297.85 ,0.0110 ,-1627 ,2610 ,-813 ,853 ,-440 ,131 ,-147 ,-54 ,-1192 ,35 ,-89 ,-89 
2009-04-03,1283.75 ,0.0053 ,-5325 ,4752 ,374 ,1031 ,-113 ,47 ,-145 ,-102 ,-359 ,15 ,23 ,197 
2009-04-02,1276.97 ,0.0354 ,-8230 ,3626 ,4422 ,1589 ,316 ,2182 ,60 ,295 ,-23 ,2 ,49 ,189 
2009-04-01,1233.36 ,0.0225 ,-2026 ,750 ,1180 ,1276 ,568 ,-642 ,24 ,20 ,-132 ,66 ,4 ,104 
2009-03-31,1206.26 ,0.0073 ,1112 ,-1646 ,682 ,657 ,71 ,-696 ,89 ,-156 ,-174 ,891 ,-98 ,-39 
2009-03-30,1197.46 ,-0.0324 ,2354 ,-1070 ,-1269 ,-153 ,-377 ,-944 ,-172 ,-336 ,51 ,664 ,5 ,-25 
2009-03-27,1237.51 ,-0.0051 ,-267 ,3382 ,-2980 ,150 ,-446 ,-1781 ,-36 ,-337 ,-456 ,-76 ,-218 ,114 
2009-03-26,1243.80 ,0.0120 ,-865 ,611 ,586 ,989 ,-92 ,-239 ,-26 ,-52 ,-113 ,120 ,-43 ,-270 
2009-03-25,1229.02 ,0.0060 ,17 ,163 ,-138 ,310 ,-223 ,73 ,59 ,-174 ,-133 ,-50 ,-94 ,119 
2009-03-24,1221.70 ,0.0185 ,-1863 ,3831 ,-1894 ,420 ,60 ,-1023 ,-178 ,-22 ,-1029 ,-122 ,-23 ,-39 
2009-03-23,1199.50 ,0.0244 ,-3419 ,2185 ,1180 ,674 ,-6 ,747 ,70 ,-46 ,-464 ,205 ,-91 ,193 
2009-03-20,1170.94 ,0.0079 ,-1546 ,1040 ,554 ,700 ,-1 ,12 ,24 ,-6 ,-237 ,62 ,0 ,-28 
2009-03-19,1161.81 ,-0.0070 ,123 ,442 ,-562 ,681 ,-480 ,-452 ,-6 ,-310 ,-253 ,258 ,0 ,-4 
2009-03-18,1169.95 ,0.0052 ,-1170 ,261 ,616 ,992 ,158 ,-301 ,-84 ,10 ,-271 ,111 ,0 ,295 
2009-03-17,1163.88 ,0.0341 ,-6202 ,297 ,4946 ,1367 ,274 ,3528 ,98 ,-186 ,-185 ,50 ,0 ,988 
2009-03-16,1125.46 ,-0.0005 ,1112 ,-534 ,-1092 ,358 ,43 ,-1062 ,-31 ,-211 ,-87 ,-102 ,0 ,523 
2009-03-13,1126.03 ,-0.0021 ,947 ,-541 ,-1011 ,185 ,-68 ,1173 ,73 ,-2148 ,-293 ,68 ,0 ,590 
2009-03-12,1128.39 ,0.0008 ,-2279 ,4892 ,8992 ,1509 ,-117 ,6955 ,-109 ,-481 ,505 ,730 ,0 ,437 
2009-03-11,1127.51 ,0.0323 ,-6941 ,5601 ,1689 ,339 ,-27 ,2031 ,-12 ,-215 ,-244 ,-183 ,0 ,-332 
2009-03-10,1092.20 ,0.0191 ,-3561 ,1791 ,1587 ,215 ,40 ,768 ,-38 ,46 ,311 ,245 ,0 ,203 
2009-03-09,1071.73 ,0.0158 ,907 ,-589 ,-678 ,190 ,20 ,-781 ,-13 ,-94 ,-184 ,183 ,0 ,367 
2009-03-06,1055.03 ,-0.0030 ,-1101 ,-355 ,973 ,-19 ,-171 ,1249 ,14 ,-111 ,-125 ,137 ,0 ,496 
2009-03-05,1058.18 ,-0.0010 ,-78 ,677 ,-780 ,75 ,177 ,-764 ,-38 ,-79 ,-134 ,-16 ,0 ,182 
2009-03-04,1059.26 ,0.0329 ,-476 ,-1783 ,1664 ,465 ,443 ,497 ,60 ,10 ,134 ,55 ,0 ,588 
2009-03-03,1025.57 ,0.0066 ,-776 ,-1770 ,1922 ,-180 ,320 ,1630 ,-37 ,17 ,26 ,145 ,0 ,623 
2009-03-02,1018.81 ,-0.0416 ,4064 ,-4118 ,-170 ,-91 ,443 ,-43 ,18 ,13 ,79 ,-588 ,0 ,192 
2009-02-27,1063.03 ,0.0078 ,-846 ,-49 ,357 ,8 ,558 ,-791 ,101 ,-2 ,507 ,-24 ,0 ,526 
2009-02-26,1054.79 ,-0.0115 ,1140 ,-996 ,-439 ,-6 ,48 ,-920 ,-56 ,-38 ,193 ,340 ,0 ,286 
2009-02-25,1067.08 ,0.0030 ,2212 ,-502 ,-1854 ,-201 ,-50 ,-1429 ,-78 ,-50 ,91 ,-137 ,0 ,126 
2009-02-24,1063.88 ,-0.0324 ,2548 ,-3009 ,301 ,-32 ,169 ,-946 ,-63 ,-64 ,1586 ,-348 ,0 ,139 
2009-02-23,1099.55 ,0.0315 ,165 ,-82 ,-144 ,41 ,310 ,-867 ,209 ,-13 ,296 ,-120 ,0 ,100 
2009-02-20,1065.95 ,-0.0372 ,3436 ,-3589 ,-218 ,136 ,-725 ,-1141 ,-17 ,-162 ,1331 ,361 ,0 ,353 
2009-02-19,1107.10 ,-0.0055 ,3643 ,-1358 ,-2547 ,146 ,502 ,-3640 ,-49 ,-81 ,750 ,-174 ,0 ,244 
2009-02-18,1113.19 ,-0.0124 ,5013 ,-1716 ,-3745 ,133 ,114 ,-4712 ,101 ,-63 ,690 ,-8 ,0 ,454 
2009-02-17,1127.19 ,-0.0411 ,4805 ,-1776 ,-3349 ,-293 ,-334 ,-2616 ,32 ,-273 ,362 ,-227 ,0 ,291 
2009-02-16,1175.47 ,-0.0142 ,2887 ,-135 ,-2582 ,145 ,-236 ,-2090 ,19 ,-204 ,-92 ,-122 ,0 ,-157 
2009-02-13,1192.44 ,0.0107 ,-557 ,-1213 ,1483 ,248 ,-41 ,946 ,100 ,-6 ,139 ,97 ,0 ,359 
2009-02-12,1179.84 ,-0.0087 ,6699 ,-2044 ,-4678 ,1362 ,47 ,-6135 ,-41 ,-26 ,616 ,-500 ,0 ,85 
2009-02-11,1190.18 ,-0.0072 ,1435 ,-1063 ,-685 ,280 ,228 ,-1290 ,-164 ,-149 ,584 ,-173 ,0 ,351 
2009-02-10,1198.87 ,-0.0032 ,568 ,-2129 ,1517 ,477 ,-171 ,1142 ,25 ,-218 ,-77 ,340 ,0 ,82 
2009-02-09,1202.69 ,-0.0063 ,-76 ,491 ,-525 ,9 ,-260 ,-116 ,-68 ,-133 ,-16 ,60 ,0 ,126 
2009-02-06,1210.26 ,0.0275 ,-1524 ,984 ,776 ,-1419 ,-224 ,940 ,-11 ,1488 ,-683 ,687 ,0 ,-233 
2009-02-05,1177.88 ,-0.0146 ,-1934 ,2712 ,-788 ,-4 ,-185 ,-1425 ,25 ,93 ,274 ,434 ,0 ,2 
2009-02-04,1195.37 ,0.0277 ,-6197 ,2208 ,3996 ,322 ,-6 ,2108 ,59 ,34 ,237 ,1240 ,0 ,-29 
