date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2014-03-13,1934.38 ,0.0010 ,2259 ,-4981 ,2580 ,450 ,688 ,343 ,24 ,-9 ,540 ,568 ,-23 ,134 
2014-03-12,1932.54 ,-0.0160 ,4890 ,-2646 ,-1694 ,-811 ,-382 ,-770 ,-56 ,156 ,373 ,-220 ,15 ,-547 
2014-03-11,1963.87 ,0.0048 ,1076 ,-421 ,-801 ,-419 ,-176 ,-86 ,-27 ,12 ,-56 ,-57 ,9 ,150 
2014-03-10,1954.42 ,-0.0103 ,3015 ,-341 ,-2659 ,-607 ,-506 ,-1333 ,-60 ,-32 ,250 ,-367 ,-4 ,-25 
2014-03-07,1974.68 ,-0.0005 ,-122 ,2007 ,-1972 ,-278 ,162 ,-249 ,-11 ,-1899 ,328 ,38 ,-62 ,94 
2014-03-06,1975.62 ,0.0022 ,96 ,851 ,-1053 ,-415 ,-167 ,-319 ,33 ,-86 ,36 ,-173 ,40 ,111 
2014-03-05,1971.24 ,0.0088 ,-923 ,170 ,680 ,-509 ,99 ,613 ,-38 ,-17 ,456 ,46 ,31 ,87 
2014-03-04,1954.11 ,-0.0054 ,1746 ,-1482 ,-403 ,-627 ,7 ,-95 ,8 ,-31 ,398 ,-44 ,-19 ,151 
2014-03-03,1964.69 ,-0.0077 ,1628 ,-773 ,-914 ,-887 ,153 ,-107 ,-31 ,-26 ,-134 ,135 ,-16 ,45 
2014-02-28,1979.99 ,0.0008 ,-322 ,2337 ,-1553 ,-917 ,10 ,-239 ,-70 ,-162 ,-254 ,120 ,-42 ,-464 
2014-02-27,1978.43 ,0.0039 ,-746 ,1391 ,-474 ,-784 ,425 ,-352 ,12 ,-194 ,567 ,-46 ,-101 ,-188 
2014-02-26,1970.77 ,0.0030 ,-1678 ,609 ,1096 ,-351 ,440 ,-269 ,6 ,-112 ,1363 ,-34 ,54 ,-27 
2014-02-25,1964.86 ,0.0081 ,-2009 ,2320 ,-338 ,-348 ,151 ,206 ,8 ,-92 ,-258 ,88 ,-93 ,62 
2014-02-24,1949.05 ,-0.0045 ,629 ,74 ,-704 ,146 ,261 ,-890 ,-30 ,-25 ,158 ,-335 ,12 ,-3 
